Top 50 Sort By Count
Count     Total    Mean  Stddev    Min  P50.0  P99.0  P99.9    Max    2xx  3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
    1     0.001  0.0010  0.0000  0.001  0.001  0.001  0.001  0.001      1    0    0    0        4831       4831       4831       4831  GET /api/courses?credit=* HTTP/2.0
    1     0.001  0.0010  0.0000  0.001  0.001  0.001  0.001  0.001      1    0    0    0        3409       3409       3409       3409  GET /api/courses?period=* HTTP/2.0
    2     0.006  0.0030  0.0000  0.003  0.003  0.003  0.003  0.003      2    0    0    0       15088       7544       7544       7544  GET /api/courses HTTP/2.0
    1     0.001  0.0010  0.0000  0.001  0.001  0.001  0.001  0.001      1    0    0    0        7544       7544       7544       7544  GET /api/courses?status=* HTTP/2.0
    1     0.001  0.0010  0.0000  0.001  0.001  0.001  0.001  0.001      1    0    0    0        2744       2744       2744       2744  GET /api/courses?day_of_week=* HTTP/2.0
    1     0.001  0.0010  0.0000  0.001  0.001  0.001  0.001  0.001      1    0    0    0         504        504        504        504  GET /api/courses?credit=*&day_of_week=*&keywords=*&period=*&status=*&teacher=*&type=* HTTP/2.0
    1     0.275  0.2750  0.0000  0.275  0.275  0.275  0.275  0.275      1    0    0    0          18         18         18         18  POST /initialize HTTP/2.0
  158     0.000  0.0000  0.0000  0.000  0.000  0.000  0.000  0.000    158    0    0    0    72736248     460356     460356     460356  GET /_nuxt/app.js HTTP/2.0
  158     0.000  0.0000  0.0000  0.000  0.000  0.000  0.000  0.000    158    0    0    0      377146       2387       2387       2387  GET / HTTP/2.0
  158     0.000  0.0000  0.0000  0.000  0.000  0.000  0.000  0.000    158    0    0    0      240792       1524       1524       1524  GET /_nuxt/runtime.js HTTP/2.0
  158     0.000  0.0000  0.0000  0.000  0.000  0.000  0.000  0.000    158    0    0    0     4199640      26580      26580      26580  GET /_nuxt/css/app.css HTTP/2.0
  158     0.000  0.0000  0.0000  0.000  0.000  0.000  0.000  0.000    158    0    0    0      464994       2943       2943       2943  GET /favicon.png HTTP/2.0

Top 50 Sort By Maximum(100 Percentile)
Count     Total    Mean  Stddev    Min  P50.0  P99.0  P99.9    Max    2xx  3xx  4xx  5xx  TotalBytes   MinBytes  MeanBytes   MaxBytes  Request
  249   399.980  1.6063  1.0695  0.000  1.349  4.159  4.765  4.765    248    0    1    0     9094889         22      36525      65510  GET /api/users/me/grades HTTP/2.0
 1504   536.673  0.3568  0.2983  0.000  0.298  1.323  2.111  2.254   1501    0    3    0  1000189341         14     665019    1436582  GET /api/courses/<course_id>/classes/<class_id>/assignments/export HTTP/2.0
13594  1469.039  0.1081  0.1099  0.000  0.074  0.491  0.749  1.229  13593    0    1    0    48557990         22       3572       4237  GET /api/announcements HTTP/2.0
36078  3682.916  0.1021  0.1076  0.001  0.069  0.497  0.774  1.198  36076    0    2    0    29245351         15        810       1644  GET /api/courses/<course_id>/classes HTTP/2.0
35977  4491.879  0.1249  0.1226  0.000  0.088  0.570  0.873  1.153  35971    0    6    0         155          0          0         42  POST /api/courses/<course_id>/classes/<class_id>/assignments HTTP/2.0
 2320   343.190  0.1479  0.1401  0.001  0.106  0.650  1.023  1.089   2318    0    2    0         268          0          0        246  PUT /api/users/me/courses HTTP/2.0
